CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
CHLD 3 20.246094 1667770816.5286
CHLD 4 20.777344 1667770816.5286
CHLD 5 29.105469 1667770816.5286
CHLD 6 65.199219 1667770816.5286
CHLD 7 65.589844 1667770816.5287
CHLD 8 66.347656 1667770816.5287
CHLD 9 69.152344 1667770816.5287
CHLD 10 71.148438 1667770816.5287
CHLD 11 71.226562 1667770816.5288
CHLD 12 72.015625 1667770816.5288
CHLD 13 7.125000 1667770816.5288
MEM 84.433594 1667770816.6291
CHLD 0 7.078125 1667770816.6346
CHLD 1 179.425781 1667770816.6346
CHLD 2 17.636719 1667770816.6347
CHLD 3 20.246094 1667770816.6347
CHLD 4 20.777344 1667770816.6347
CHLD 5 29.105469 1667770816.6347
CHLD 6 65.199219 1667770816.6347
CHLD 7 65.589844 1667770816.6347
CHLD 8 66.347656 1667770816.6348
CHLD 9 69.152344 1667770816.6348
CHLD 10 71.148438 1667770816.6348
CHLD 11 71.226562 1667770816.6348
CHLD 12 72.015625 1667770816.6348
CHLD 13 7.125000 1667770816.6349
MEM 84.457031 1667770816.7352
CHLD 0 7.078125 1667770816.7403
CHLD 1 181.425781 1667770816.7403
CHLD 2 17.636719 1667770816.7403
CHLD 3 20.246094 1667770816.7403
CHLD 4 20.777344 1667770816.7403
CHLD 5 29.105469 1667770816.7403
CHLD 6 65.199219 1667770816.7403
CHLD 7 65.589844 1667770816.7403
CHLD 8 66.347656 1667770816.7403
CHLD 9 69.152344 1667770816.7403
CHLD 10 71.148438 1667770816.7403
CHLD 11 71.226562 1667770816.7403
CHLD 12 72.015625 1667770816.7404
CHLD 13 7.125000 1667770816.7404
MEM 84.457031 1667770816.8408
CHLD 0 7.078125 1667770816.8455
CHLD 1 181.425781 1667770816.8455
CHLD 2 17.636719 1667770816.8455
CHLD 3 20.246094 1667770816.8456
CHLD 4 20.777344 1667770816.8456
CHLD 5 29.105469 1667770816.8456
CHLD 6 65.199219 1667770816.8456
CHLD 7 65.589844 1667770816.8456
CHLD 8 66.347656 1667770816.8456
CHLD 9 69.152344 1667770816.8456
CHLD 10 71.148438 1667770816.8456
CHLD 11 71.226562 1667770816.8456
CHLD 12 72.015625 1667770816.8457
CHLD 13 7.125000 1667770816.8457
MEM 84.460938 1667770816.9460
CHLD 0 7.078125 1667770816.9506
CHLD 1 181.425781 1667770816.9506
CHLD 2 17.636719 1667770816.9506
CHLD 3 20.246094 1667770816.9506
CHLD 4 20.777344 1667770816.9506
CHLD 5 29.105469 1667770816.9506
CHLD 6 65.199219 1667770816.9506
CHLD 7 65.589844 1667770816.9506
CHLD 8 66.347656 1667770816.9507
CHLD 9 69.152344 1667770816.9507
CHLD 10 71.148438 1667770816.9507
CHLD 11 71.226562 1667770816.9507
CHLD 12 72.015625 1667770816.9507
CHLD 13 7.125000 1667770816.9507
MEM 84.460938 1667770817.0511
CHLD 0 7.078125 1667770817.0561
CHLD 1 181.425781 1667770817.0561
CHLD 2 17.636719 1667770817.0561
CHLD 3 20.246094 1667770817.0561
CHLD 4 20.777344 1667770817.0562
CHLD 5 29.105469 1667770817.0562
CHLD 6 65.199219 1667770817.0562
CHLD 7 65.589844 1667770817.0562
CHLD 8 67.601562 1667770817.0562
CHLD 9 69.152344 1667770817.0562
CHLD 10 71.148438 1667770817.0562
CHLD 11 71.226562 1667770817.0562
CHLD 12 72.015625 1667770817.0563
CHLD 13 7.125000 1667770817.0563
MEM 84.460938 1667770817.1567
CHLD 0 7.078125 1667770817.1602
CHLD 1 181.679688 1667770817.1602
CHLD 2 17.636719 1667770817.1603
CHLD 3 20.246094 1667770817.1603
CHLD 4 20.777344 1667770817.1603
CHLD 5 29.105469 1667770817.1603
CHLD 6 65.199219 1667770817.1603
CHLD 7 65.589844 1667770817.1603
CHLD 8 66.628906 1667770817.1603
CHLD 9 69.152344 1667770817.1603
CHLD 10 71.148438 1667770817.1603
CHLD 11 71.226562 1667770817.1604
CHLD 12 72.015625 1667770817.1604
CHLD 13 7.125000 1667770817.1604
MEM 76.898438 1667770817.2607
CHLD 0 7.078125 1667770817.2639
CHLD 1 181.679688 1667770817.2640
CHLD 2 17.636719 1667770817.2640
CHLD 3 20.246094 1667770817.2640
CHLD 4 20.777344 1667770817.2640
CHLD 5 29.105469 1667770817.2640
CHLD 6 65.199219 1667770817.2640
CHLD 7 65.589844 1667770817.2640
CHLD 8 66.628906 1667770817.2640
CHLD 9 69.152344 1667770817.2640
CHLD 10 71.148438 1667770817.2640
CHLD 11 71.226562 1667770817.2640
CHLD 12 72.015625 1667770817.2640
CHLD 13 7.125000 1667770817.2640
MEM 88.152344 1667770817.3645
CHLD 0 7.078125 1667770817.3685
CHLD 1 183.226562 1667770817.3685
CHLD 2 17.636719 1667770817.3685
CHLD 3 20.246094 1667770817.3685
CHLD 4 20.777344 1667770817.3685
CHLD 5 29.105469 1667770817.3685
CHLD 6 65.199219 1667770817.3685
CHLD 7 65.589844 1667770817.3685
CHLD 8 68.718750 1667770817.3685
CHLD 9 69.152344 1667770817.3686
CHLD 10 71.148438 1667770817.3686
CHLD 11 71.226562 1667770817.3686
CHLD 12 72.015625 1667770817.3686
CHLD 13 78.632812 1667770817.3686
CHLD 14 7.125000 1667770817.3686
MEM 94.890625 1667770817.4690
CHLD 0 7.078125 1667770817.4739
CHLD 1 183.226562 1667770817.4739
CHLD 2 17.636719 1667770817.4739
CHLD 3 20.246094 1667770817.4739
CHLD 4 20.777344 1667770817.4739
CHLD 5 29.105469 1667770817.4739
CHLD 6 65.199219 1667770817.4739
CHLD 7 65.589844 1667770817.4739
CHLD 8 68.718750 1667770817.4739
CHLD 9 69.152344 1667770817.4739
CHLD 10 71.148438 1667770817.4739
CHLD 11 71.226562 1667770817.4740
CHLD 12 72.015625 1667770817.4740
CHLD 13 78.632812 1667770817.4740
CHLD 14 7.125000 1667770817.4740
MEM 94.914062 1667770817.5744
CHLD 0 7.078125 1667770817.5790
CHLD 1 183.226562 1667770817.5790
CHLD 2 17.636719 1667770817.5791
CHLD 3 20.246094 1667770817.5791
CHLD 4 20.777344 1667770817.5791
CHLD 5 29.105469 1667770817.5791
CHLD 6 65.328125 1667770817.5791
CHLD 7 65.589844 1667770817.5791
CHLD 8 69.687500 1667770817.5791
CHLD 9 69.152344 1667770817.5791
CHLD 10 71.148438 1667770817.5791
CHLD 11 71.226562 1667770817.5791
CHLD 12 72.015625 1667770817.5791
CHLD 13 78.632812 1667770817.5791
CHLD 14 7.125000 1667770817.5791
MEM 94.054688 1667770817.6794
CHLD 0 7.078125 1667770817.6826
CHLD 1 183.226562 1667770817.6826
CHLD 2 17.636719 1667770817.6827
CHLD 3 20.246094 1667770817.6827
CHLD 4 20.777344 1667770817.6827
CHLD 5 29.105469 1667770817.6827
CHLD 6 65.328125 1667770817.6827
CHLD 7 65.589844 1667770817.6827
CHLD 8 69.687500 1667770817.6827
CHLD 9 69.152344 1667770817.6827
CHLD 10 71.148438 1667770817.6827
CHLD 11 71.226562 1667770817.6827
CHLD 12 72.015625 1667770817.6827
CHLD 13 78.632812 1667770817.6827
CHLD 14 7.125000 1667770817.6827
MEM 94.054688 1667770817.7831
CHLD 0 7.078125 1667770817.7865
CHLD 1 183.226562 1667770817.7865
CHLD 2 17.636719 1667770817.7865
CHLD 3 20.246094 1667770817.7865
CHLD 4 20.777344 1667770817.7865
CHLD 5 29.105469 1667770817.7865
