CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
CHLD 1 179.058594 1667753869.2350
CHLD 2 6.980469 1667753869.2350
MEM 47.617188 1667753869.3354
CHLD 0 7.125000 1667753869.3417
CHLD 1 179.058594 1667753869.3417
CHLD 2 6.980469 1667753869.3417
MEM 47.617188 1667753869.4423
CHLD 0 7.125000 1667753869.4504
CHLD 1 179.316406 1667753869.4504
CHLD 2 6.980469 1667753869.4504
MEM 49.675781 1667753869.5507
CHLD 0 7.125000 1667753869.5554
CHLD 1 179.316406 1667753869.5554
CHLD 2 6.980469 1667753869.5554
MEM 49.675781 1667753869.6558
CHLD 0 7.125000 1667753869.6590
CHLD 1 179.316406 1667753869.6590
CHLD 2 6.980469 1667753869.6590
MEM 49.675781 1667753869.7595
CHLD 0 7.125000 1667753869.7662
CHLD 1 179.316406 1667753869.7662
CHLD 2 6.980469 1667753869.7662
MEM 49.675781 1667753869.8666
CHLD 0 7.125000 1667753869.8697
CHLD 1 179.316406 1667753869.8698
CHLD 2 6.980469 1667753869.8698
MEM 49.675781 1667753869.9702
CHLD 0 7.125000 1667753869.9756
CHLD 1 179.316406 1667753869.9757
CHLD 2 6.980469 1667753869.9757
MEM 49.675781 1667753870.0759
CHLD 0 7.125000 1667753870.0791
CHLD 1 179.316406 1667753870.0791
CHLD 2 6.980469 1667753870.0791
MEM 49.675781 1667753870.1795
CHLD 0 7.125000 1667753870.1838
CHLD 1 179.316406 1667753870.1838
CHLD 2 6.980469 1667753870.1838
MEM 49.675781 1667753870.2842
CHLD 0 7.125000 1667753870.2883
CHLD 1 179.316406 1667753870.2883
CHLD 2 6.980469 1667753870.2883
MEM 49.675781 1667753870.3887
CHLD 0 7.125000 1667753870.3918
CHLD 1 179.574219 1667753870.3918
CHLD 2 6.980469 1667753870.3918
MEM 51.738281 1667753870.4922
CHLD 0 7.125000 1667753870.4980
CHLD 1 179.574219 1667753870.4980
CHLD 2 6.980469 1667753870.4981
MEM 50.796875 1667753870.5988
CHLD 0 7.125000 1667753870.6097
CHLD 1 179.574219 1667753870.6098
CHLD 2 6.980469 1667753870.6098
MEM 53.632812 1667753870.7102
CHLD 0 7.125000 1667753870.7176
CHLD 1 179.832031 1667753870.7177
CHLD 2 6.980469 1667753870.7177
MEM 73.867188 1667753870.8180
CHLD 0 7.125000 1667753870.8222
CHLD 1 179.832031 1667753870.8222
CHLD 2 6.980469 1667753870.8223
MEM 52.910156 1667753870.9227
CHLD 0 7.125000 1667753870.9291
CHLD 1 181.636719 1667753870.9291
CHLD 2 6.980469 1667753870.9292
MEM 65.734375 1667753871.0295
CHLD 0 7.125000 1667753871.0350
CHLD 1 181.636719 1667753871.0350
CHLD 2 6.980469 1667753871.0351
MEM 54.875000 1667753871.1355
CHLD 0 7.125000 1667753871.1440
CHLD 1 181.625000 1667753871.1440
CHLD 2 6.980469 1667753871.1440
MEM 55.906250 1667753871.2444
CHLD 0 7.125000 1667753871.2478
CHLD 1 181.625000 1667753871.2478
CHLD 2 6.980469 1667753871.2479
MEM 55.906250 1667753871.3483
CHLD 0 7.125000 1667753871.3553
CHLD 1 181.625000 1667753871.3554
CHLD 2 6.980469 1667753871.3554
MEM 56.164062 1667753871.4559
CHLD 0 7.125000 1667753871.4613
CHLD 1 181.625000 1667753871.4613
CHLD 2 6.980469 1667753871.4613
MEM 56.164062 1667753871.5618
CHLD 0 7.125000 1667753871.5663
CHLD 1 181.625000 1667753871.5663
CHLD 2 6.980469 1667753871.5663
MEM 56.164062 1667753871.6667
CHLD 0 7.125000 1667753871.6699
CHLD 1 181.625000 1667753871.6699
CHLD 2 6.980469 1667753871.6699
MEM 56.164062 1667753871.7703
CHLD 0 7.125000 1667753871.7730
CHLD 1 181.882812 1667753871.7730
CHLD 2 6.980469 1667753871.7730
MEM 77.687500 1667753871.8734
CHLD 0 7.125000 1667753871.8762
CHLD 1 181.882812 1667753871.8762
CHLD 2 6.980469 1667753871.8762
MEM 67.914062 1667753871.9766
CHLD 0 7.125000 1667753871.9794
CHLD 1 181.882812 1667753871.9795
CHLD 2 6.980469 1667753871.9795
MEM 58.000000 1667753872.0799
CHLD 0 7.125000 1667753872.0860
CHLD 1 181.882812 1667753872.0860
CHLD 2 6.980469 1667753872.0860
MEM 58.000000 1667753872.1867
CHLD 0 7.125000 1667753872.1968
CHLD 1 181.882812 1667753872.1968
CHLD 2 6.980469 1667753872.1968
MEM 60.000000 1667753872.2972
CHLD 0 7.125000 1667753872.3009
CHLD 1 181.882812 1667753872.3009
CHLD 2 6.980469 1667753872.3009
MEM 60.000000 1667753872.4014
CHLD 0 7.125000 1667753872.4116
CHLD 1 181.882812 1667753872.4117
CHLD 2 6.980469 1667753872.4117
MEM 60.000000 1667753872.5122
CHLD 0 7.125000 1667753872.5204
CHLD 1 181.882812 1667753872.5204
CHLD 2 6.980469 1667753872.5205
MEM 60.000000 1667753872.6211
CHLD 0 7.125000 1667753872.6357
CHLD 1 183.882812 1667753872.6358
CHLD 2 6.980469 1667753872.6359
MEM 60.000000 1667753872.7364
CHLD 0 7.125000 1667753872.7451
CHLD 1 183.882812 1667753872.7452
CHLD 2 6.980469 1667753872.7452
MEM 60.000000 1667753872.8456
CHLD 0 7.125000 1667753872.8526
CHLD 1 183.882812 1667753872.8527
CHLD 2 6.980469 1667753872.8527
MEM 60.000000 1667753872.9531
CHLD 0 7.125000 1667753872.9622
CHLD 1 183.882812 1667753872.9623
CHLD 2 6.980469 1667753872.9623
MEM 60.511719 1667753873.0629
CHLD 0 7.125000 1667753873.0712
CHLD 1 183.882812 1667753873.0713
CHLD 2 6.980469 1667753873.0713
MEM 60.511719 1667753873.1720
CHLD 0 7.125000 1667753873.1773
CHLD 1 183.882812 1667753873.1774
CHLD 2 6.980469 1667753873.1774
MEM 60.511719 1667753873.2780
CHLD 0 7.125000 1667753873.2821
MEM 60.511719 1667753873.3826
CHLD 0 7.125000 1667753873.3881
MEM 60.511719 1667753873.4886
CHLD 0 7.125000 1667753873.4926
MEM 60.511719 1667753873.5930
CHLD 0 7.125000 1667753873.5977
MEM 60.511719 1667753873.6988
CHLD 0 7.125000 1667753873.7151
MEM 60.511719 1667753873.8161
CHLD 0 7.125000 1667753873.8252
MEM 60.511719 1667753873.9262
CHLD 0 7.125000 1667753873.9362
MEM 60.511719 1667753874.0371
CHLD 0 7.125000 1667753874.0454
MEM 60.511719 1667753874.1464
CHLD 0 7.125000 1667753874.1562
MEM 60.511719 1667753874.2568
CHLD 0 7.125000 1667753874.2635
MEM 60.511719 1667753874.3640
CHLD 0 7.125000 1667753874.3735
MEM 60.511719 1667753874.4744
CHLD 0 7.125000 1667753874.4841
MEM 60.511719 1667753874.5850
CHLD 0 7.125000 1667753874.5947
MEM 60.511719 1667753874.6957
CHLD 0 7.125000 1667753874.7055
MEM 60.511719 1667753874.8064
CHLD 0 7.125000 1667753874.8161
MEM 60.511719 1667753874.9171
CHLD 0 7.125000 1667753874.9258
MEM 60.511719 1667753875.0267
CHLD 0 7.125000 1667753875.0351
MEM 60.511719 1667753875.1361
CHLD 0 7.125000 1667753875.1461
MEM 60.511719 1667753875.2471
CHLD 0 7.125000 1667753875.2567
MEM 60.511719 1667753875.3577
CHLD 0 7.125000 1667753875.3680
MEM 60.511719 1667753875.4690
CHLD 0 7.125000 1667753875.4786
MEM 60.511719 1667753875.5796
CHLD 0 7.125000 1667753875.5899
MEM 60.511719 1667753875.6906
CHLD 0 7.125000 1667753875.7060
MEM 60.511719 1667753875.8071
CHLD 0 7.125000 1667753875.8171
MEM 60.511719 1667753875.9180
CHLD 0 7.125000 1667753875.9269
MEM 60.511719 1667753876.0279
CHLD 0 7.125000 1667753876.0380
MEM 60.511719 1667753876.1390
CHLD 0 7.125000 1667753876.1491
MEM 60.511719 1667753876.2500
CHLD 0 7.125000 1667753876.2587
MEM 60.511719 1667753876.3597
CHLD 0 7.125000 1667753876.3700
MEM 60.511719 1667753876.4710
CHLD 0 7.125000 1667753876.4810
